TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
5,1,0,1,60TPS5sec,25260,22760,60.1,2.90,0.01,0.16,31.9,0.0,65,23292,735.0,31.7,16.6,3.0,36.0,0.01
5,1,1,1,60TPS5sec,25100,22920,60.1,2.45,0.01,0.14,31.4,0.0,72,23812,756.0,31.5,15.3,3.0,42.0,-0.0
10,2,0,1,5TPS10sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.087,85,4033,831.0,4.9,9.6,3.0,48.0,0.04
10,2,1,1,5TPS10sec,4020,0,5.1,0.23,0.01,0.03,5.1,0.138,82,4033,828.0,4.9,10.2,3.0,78.0,0.04
30,2,0,1,5TPS30sec,4020,0,5.1,0.22,0.01,0.02,5.1,0.085,44,4033,828.0,4.9,19.4,3.0,75.0,0.04
30,2,1,1,5TPS30sec,4020,0,5.1,0.27,0.01,0.03,5.1,0.107,51,3953,828.0,4.8,14.9,3.0,63.0,0.06
40,2,0,1,5TPS40sec,4020,0,5.1,0.32,0.01,0.02,5.1,0.104,45,4013,828.0,4.8,19.5,3.0,72.0,0.06
40,2,1,1,5TPS40sec,4020,0,5.1,0.31,0.01,0.03,5.1,0.086,34,4033,828.0,4.9,23.8,3.0,81.0,0.04
80,2,0,1,5TPS80sec,4020,0,5.1,0.18,0.01,0.02,5.1,0.136,20,4033,828.0,4.9,41.3,3.0,132.0,0.04
80,2,1,1,5TPS80sec,4020,0,5.1,0.35,0.01,0.04,5.1,0.042,24,3653,828.0,4.4,32.5,3.0,132.0,0.16
100,2,0,1,5TPS100sec,4020,0,5.1,0.36,0.01,0.03,5.0,0.077,13,3733,831.0,4.5,55.8,3.0,171.0,0.11
100,2,1,1,5TPS100sec,4020,0,5.1,0.28,0.01,0.02,5.1,0.0,19,3973,828.0,4.8,42.0,3.0,168.0,0.06
60,2,0,1,5TPS60sec,4020,0,5.1,0.10,0.01,0.02,5.1,0.048,21,3793,831.0,4.6,39.5,3.0,147.0,0.11
60,2,1,1,5TPS60sec,4020,0,5.1,0.46,0.01,0.04,5.1,0.143,19,3753,828.0,4.5,36.2,3.0,105.0,0.13
20,2,0,1,5TPS20sec,4020,0,5.1,0.09,0.01,0.02,5.1,0.147,59,4033,831.0,4.9,14.7,3.0,54.0,0.04
20,2,1,1,5TPS20sec,4020,0,5.1,0.15,0.01,0.02,5.1,0.088,63,4033,828.0,4.9,13.0,3.0,48.0,0.04
3,2,0,1,5TPS3sec,4020,0,5.1,0.47,0.01,0.04,5.0,0.748,74,3873,831.0,4.7,11.3,3.0,36.0,0.06
3,2,1,1,5TPS3sec,4020,0,5.1,0.09,0.01,0.02,5.1,0.405,154,4033,831.0,4.9,5.5,3.0,18.0,0.04
50,2,0,1,5TPS50sec,4020,0,5.1,0.23,0.01,0.02,5.1,0.167,31,4033,828.0,4.9,25.2,3.0,90.0,0.04
50,2,1,1,5TPS50sec,4020,0,5.1,0.28,0.01,0.02,5.1,0.056,35,3953,828.0,4.8,24.0,3.0,111.0,0.06
