Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,10,2,sawtooth-validator-0,348.7,193.8,112.77,33.62,23.6,571.7,0,0
4,10,2,sawtooth-validator-3,282.8,167.4,105.00,25.60,21.1,34.0,0,0
4,13,0,sawtooth-shell-default,41.7,12.8,97.92,18.73,888.5,6.2,520.0,0
4,13,0,sawtooth-settings-tp-3,20.9,20.9,0.00,0.00,7.8,0,0,0
4,13,0,sawtooth-intkey-tp-python...ult-3,22.7,21.6,48.19,10.43,14.7,7.3,0,0
4,13,0,sawtooth-rest-api-3,26.3,26.3,1.44,0.03,963.5,974.8,0,0
4,13,0,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,7.7,0,0,0
4,13,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,7.8,0,0,0
4,13,0,sawtooth-rest-api-0,79.8,42.9,100.81,15.44,537.4,891.6,0,0
4,13,0,sawtooth-intkey-tp-python...ult-0,22.9,21.6,49.28,11.85,17.6,8.8,0,0
4,13,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,7.8,0,0,0
4,13,0,sawtooth-intkey-tp-python...ult-2,22.3,21.4,47.64,8.20,12.2,6.0,0,0
4,13,0,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,7.8,0,0,0
4,13,0,sawtooth-poet-validator-r...-tp-2,46.9,46.9,0.00,0.00,7.8,0,0,0
4,13,0,sawtooth-rest-api-2,26.3,26.3,1.81,0.04,949.7,959.4,0,0
4,13,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,7.9,0,0,0
4,13,0,sawtooth-intkey-tp-python...ult-1,22.6,21.3,49.49,11.39,17.1,8.5,0,0
4,13,0,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,7.8,0,0,0
4,13,0,sawtooth-rest-api-1,26.3,26.3,0.82,0.03,949.2,959.4,0,0
4,13,0,sawtooth-validator-3,227.4,155.7,100.66,21.02,16.9,17.3,0,0
4,13,0,sawtooth-validator-0,323.3,188.9,108.31,33.61,21.2,572.6,0,0
4,13,0,sawtooth-validator-2,221.7,144.0,98.88,17.93,14.1,16.3,0,0
4,13,0,sawtooth-validator-1,265.1,159.8,98.23,24.38,18.2,19.7,0,0
4,13,1,sawtooth-shell-default,30.3,12.2,93.07,24.25,548.4,4.0,0,0
4,13,1,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,3.6,0,0,0
4,13,1,sawtooth-intkey-tp-python...ult-3,23.9,22.1,52.95,14.01,23.5,11.7,0,0
4,13,1,sawtooth-rest-api-3,26.2,26.1,0.85,0.03,961.7,974.9,0,0
4,13,1,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,3.7,0,0,0
4,13,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.8,0,0,0
