Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
2,1,1,35TPS,21400,13620,35,1.57,0.01,0.04,21.4,0.484,32,17473,980,17.8,29.4,5,115,0.2
2,2,1,35TPS,20980,14040,35,1.39,0.01,0.04,21,0.508,27,17813,975,18.3,38.4,5,115,0.15
2,0,1,40TPS,23640,16380,40,0.97,0.01,0.04,23.7,0.493,34,19533,965,20.2,28.4,5,80,0.17
2,1,1,40TPS,20960,19060,40,2.11,0.01,0.06,21,0.348,43,17693,970,18.2,23.9,5,85,0.15
2,2,1,40TPS,20000,20020,40,2.16,0.01,0.08,20,0.396,32,15613,990,15.8,29.8,5,105,0.27
4,0,1,5TPS,5020,0,5,0.17,0.01,0.02,5,0.138,76,5035,1030,4.9,16.2,5,65,0.02
4,1,1,5TPS,5020,0,5,0.11,0.01,0.02,5,0.129,75,4935,1035,4.8,15.5,5,105,0.04
4,2,1,5TPS,5020,0,5,0.12,0.01,0.02,5,0.398,57,3195,1030,3.1,13.9,5,120,0.61
4,0,1,10TPS,9800,220,10,0.85,0.01,0.03,9.8,0.225,68,9755,1010,9.7,16.4,5,150,0.01
4,1,1,10TPS,9900,120,10,0.71,0.01,0.03,9.9,0.149,75,9675,1015,9.5,17.9,5,140,0.04
4,2,1,10TPS,10020,0,10,1.07,0.01,0.02,10,0.169,75,9675,1010,9.6,16.9,5,60,0.04
4,0,1,15TPS,13260,1760,15,1.56,0.01,0.04,13.3,0.378,52,11255,975,11.5,17.9,5,155,0.16
4,1,1,15TPS,12820,2200,15,1.64,0.01,0.06,12.8,0.342,49,8275,995,8.3,13.8,5,60,0.54
4,2,1,15TPS,11240,3780,15,1.22,0.01,0.05,11.3,0.31,49,6595,1010,6.5,19.6,5,160,0.74
4,0,1,20TPS,11700,8320,20,0.33,0.01,0.04,11.7,0.628,29,6815,1020,6.7,37,5,195,0.75
4,1,1,20TPS,11660,8360,20,0.9,0.01,0.05,11.7,0.524,40,6175,1015,6.1,22,5,145,0.92
4,2,1,20TPS,12320,7700,20,1.11,0.01,0.05,12.3,0.537,37,6501,1005,6.5,20.6,5,80,0.89
4,0,1,25TPS,10440,14580,25,0.44,0.01,0.04,10.5,0.778,19,5315,1020,5.2,37.3,5,130,1.02
4,1,1,25TPS,10980,14040,25,0.53,0.01,0.05,11,0.768,20,6395,1015,6.3,50.9,5,95,0.75
4,2,1,25TPS,10840,14180,25,0.67,0.01,0.05,11,0.724,22,7315,1020,7.2,44.7,5,90,0.53
4,0,1,30TPS,9700,20320,30,0.31,0.01,0.04,10.3,0.795,18,4555,1040,4.4,53.3,5,190,1.34
4,1,1,30TPS,10440,19580,30,0.33,0.01,0.05,10.4,0.753,19,5215,1010,5.2,56.6,5,115,1
4,2,1,30TPS,9580,20440,30,0.94,0.01,0.05,9.6,0.696,25,5495,1020,5.4,38.1,5,115,0.78
4,0,1,35TPS,9040,25980,35,0.29,0.01,0.04,9.1,0.722,22,4301,1015,4.2,50.6,5,130,1.17
4,1,1,35TPS,8560,26460,35,0.36,0.01,0.04,8.6,0.818,19,4795,1025,4.7,48.2,5,145,0.83
4,2,1,35TPS,9820,25200,35,0.15,0.01,0.04,10.7,0.824,16,3935,1035,3.8,52.5,5,140,1.82
4,0,1,40TPS,10040,29980,40,0.58,0.01,0.04,10.2,0.779,18,6575,1020,6.4,50.6,5,155,0.59
4,1,1,40TPS,8560,31460,40,0.33,0.01,0.04,8.6,0.837,18,4675,1025,4.6,74.6,5,325,0.87
4,2,1,40TPS,9420,30600,40,0.47,0.01,0.04,9.7,0.789,19,4635,1015,4.6,54.4,5,150,1.11
1,0,1,45TPS,24880,20140,45,2.72,0.01,0.13,24.9,0,31,22932,955,24,34.6,5,95,0.04
1,1,1,45TPS,22840,22180,45,2.15,0.01,0.12,23.3,0,25,21172,960,22.1,44.8,5,105,0.05
1,2,1,45TPS,23980,21040,45,2.44,0.01,0.14,24,0,34,22152,945,23.4,33,5,95,0.03
