TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
40,8,0,1,30TPS40sec,7120,16900,30.1,0.40,0.01,0.04,10.2,0.846,7,2399,840.0,2.9,65.1,3.0,189.0,2.52
40,8,1,1,30TPS40sec,5540,18480,30.1,0.12,0.01,0.03,6.9,0.722,16,1739,843.0,2.1,39.0,3.0,243.0,2.29
50,8,0,1,30TPS50sec,6160,17860,30.1,0.20,0.01,0.04,9.9,0.816,8,2159,840.0,2.6,35.6,3.0,147.0,2.81
50,8,1,1,30TPS50sec,6200,17820,30.1,0.38,0.01,0.04,10.5,0.818,5,2239,846.0,2.6,56.2,3.0,132.0,3.04
60,8,0,1,30TPS60sec,6980,17040,30.1,0.14,0.01,0.04,8.8,0.649,14,2419,831.0,2.9,34.9,3.0,231.0,2.03
60,8,1,1,30TPS60sec,6080,17940,30.1,0.48,0.01,0.04,8.0,0.816,10,2379,843.0,2.8,32.7,3.0,114.0,1.86
80,8,0,1,30TPS80sec,6620,17400,30.1,0.21,0.01,0.04,8.3,0.7,10,1299,852.0,1.5,28.7,3.0,111.0,4.53
80,8,1,1,30TPS80sec,6340,17680,30.1,0.34,0.01,0.04,8.0,0.583,11,1899,837.0,2.3,18.4,3.0,78.0,2.48
100,8,0,1,30TPS100sec,7020,17000,30.1,0.24,0.01,0.04,9.3,0.7,4,2699,840.0,3.2,65.0,3.0,180.0,1.91
100,8,1,1,30TPS100sec,7220,16800,30.1,0.16,0.01,0.04,9.0,0.667,7,2979,834.0,3.6,66.0,3.0,183.0,1.5
3,8,0,1,40TPS3sec,4040,27980,40.1,0.17,0.01,0.03,5.1,0.942,19,301,852.0,0.4,59.3,3.0,303.0,11.75
3,8,1,1,40TPS3sec,4580,27440,40.1,0.14,0.01,0.03,5.8,0.951,17,939,852.0,1.1,56.5,3.0,141.0,4.27
5,8,0,1,40TPS5sec,3500,28520,40.1,0.18,0.01,0.03,4.6,0.931,18,1779,846.0,2.1,46.1,3.0,117.0,1.19
5,8,1,1,40TPS5sec,3500,28520,40.1,0.11,0.01,0.03,5.0,0.937,16,1039,867.0,1.2,54.9,3.0,162.0,3.17
10,8,0,1,40TPS10sec,4340,27680,40.1,0.11,0.01,0.03,5.4,0.899,15,2099,855.0,2.5,39.9,3.0,165.0,1.16
10,8,1,1,40TPS10sec,5460,26560,40.1,0.11,0.01,0.03,7.2,0.897,15,1139,852.0,1.3,40.1,3.0,129.0,4.54
20,8,0,1,40TPS20sec,5020,27000,40.1,0.15,0.01,0.03,6.3,0.895,10,1359,852.0,1.6,50.4,3.0,195.0,2.94
20,8,1,1,40TPS20sec,3840,28180,40.1,0.21,0.01,0.03,4.8,0.901,12,1259,852.0,1.5,47.0,3.0,207.0,2.2
30,8,0,1,40TPS30sec,5000,27020,40.1,0.68,0.01,0.04,6.4,0.88,10,1459,846.0,1.7,47.7,3.0,153.0,2.76
30,8,1,1,40TPS30sec,4760,27260,40.1,0.10,0.01,0.03,6.3,0.808,11,1339,855.0,1.6,80.7,3.0,213.0,2.94
40,8,0,1,40TPS40sec,5620,26400,40.1,0.20,0.01,0.03,7.7,0.766,16,1879,843.0,2.2,25.4,3.0,153.0,2.5
40,8,1,1,40TPS40sec,7620,24400,40.1,0.48,0.01,0.04,9.5,0.818,9,2499,834.1,3.0,32.2,3.0,147.0,2.17
50,8,0,1,40TPS50sec,6160,25860,40.1,0.27,0.01,0.04,7.7,0.815,6,1919,843.0,2.3,75.6,3.0,246.0,2.35
50,8,1,1,40TPS50sec,6740,25280,40.1,0.49,0.01,0.04,8.4,0.673,19,3159,858.0,3.7,28.4,3.0,132.0,1.27
60,8,0,1,40TPS60sec,11020,21000,40.1,1.05,0.01,0.04,13.8,0.479,37,9459,792.0,11.9,20.9,3.0,87.0,0.16
60,8,1,1,40TPS60sec,5000,27020,40.1,0.27,0.01,0.04,10.0,0.792,6,959,843.0,1.1,65.4,3.0,255.0,8.09
80,8,0,1,40TPS80sec,6880,25140,40.1,0.36,0.01,0.04,9.7,0.76,7,2919,849.0,3.4,68.1,3.0,198.0,1.85
80,8,1,1,40TPS80sec,6140,25880,40.1,0.52,0.01,0.04,7.7,0.8,12,2839,837.0,3.4,45.0,3.0,105.0,1.26
100,8,0,1,40TPS100sec,7040,24980,40.1,0.75,0.01,0.05,9.6,0.621,12,4579,828.0,5.5,44.2,3.0,243.0,0.75
100,8,1,1,40TPS100sec,6700,25320,40.1,0.20,0.01,0.04,8.8,0.826,5,2159,855.0,2.5,54.6,3.0,120.0,2.52
3,8,0,1,50TPS3sec,4320,35700,50.1,0.23,0.01,0.03,5.6,0.92,26,1579,852.0,1.9,31.4,3.0,81.0,1.95
3,8,1,1,50TPS3sec,3960,36060,50.1,0.17,0.01,0.03,5.0,0.947,18,759,858.0,0.9,36.5,3.0,132.0,4.56
5,8,0,1,50TPS5sec,4060,35960,50.1,0.11,0.01,0.03,5.8,0.921,19,1199,855.0,1.4,31.8,3.0,144.0,3.14
5,8,1,1,50TPS5sec,3940,36080,50.1,0.09,0.01,0.03,5.2,0.942,16,1299,849.0,1.5,41.2,3.0,93.0,2.47
10,8,0,1,50TPS10sec,5180,34840,50.1,0.19,0.01,0.03,6.6,0.882,16,1759,846.0,2.1,39.2,3.0,126.0,2.14
10,8,1,1,50TPS10sec,4880,35140,50.1,0.17,0.01,0.03,6.1,0.908,13,879,852.0,1.0,44.8,3.0,138.0,5.1
20,8,0,1,50TPS20sec,5380,34640,50.1,0.18,0.01,0.03,7.0,0.838,13,1199,864.0,1.4,44.0,3.0,156.0,4.0
20,8,1,1,50TPS20sec,5900,34120,50.1,0.13,0.01,0.03,7.8,0.874,12,2339,855.0,2.7,50.5,3.0,147.0,1.89
30,8,0,1,50TPS30sec,4820,35200,50.1,0.11,0.01,0.03,6.1,0.785,15,1739,843.0,2.1,43.2,3.0,270.0,1.9
30,8,1,1,50TPS30sec,5320,34700,50.1,0.18,0.01,0.03,7.4,0.844,8,1979,855.0,2.3,75.4,3.0,228.0,2.22
40,8,0,1,50TPS40sec,7540,32480,50.1,0.29,0.01,0.04,9.4,0.86,8,3079,849.0,3.6,54.9,3.0,195.0,1.61
40,8,1,1,50TPS40sec,5580,34440,50.1,0.10,0.01,0.03,7.3,0.837,8,1759,843.0,2.1,59.1,3.0,213.0,2.48
50,8,0,1,50TPS50sec,6440,33580,50.1,0.13,0.01,0.04,8.1,0.811,8,1519,855.0,1.8,43.9,3.0,180.0,3.5
50,8,1,1,50TPS50sec,5000,35020,50.1,0.10,0.01,0.03,7.3,0.829,8,1639,855.0,1.9,48.5,3.0,177.0,2.84
60,8,0,1,50TPS60sec,5920,34100,50.1,0.14,0.01,0.03,7.4,0.811,8,1579,852.0,1.9,25.9,3.0,90.0,2.89
60,8,1,1,50TPS60sec,8280,31740,50.1,0.47,0.01,0.03,11.4,0.523,22,3759,840.0,4.5,21.4,3.0,129.0,1.53
