Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
2,5,0,sawtooth-shell-default,28.8,9.7,54.76,11.83,1.1,7.5,0,0
2,5,0,sawtooth-rest-api-1,26.1,26.0,0.77,0.05,1.9,1.9,0,0
2,5,0,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.74,0.00,15.8,3.6,0,0
2,5,0,sawtooth-intkey-tp-python...ult-1,22.2,21.3,44.45,3.44,11.3,5.6,0,0
2,5,0,sawtooth-settings-tp-1,20.8,20.8,0.00,0.00,11.0,0,0,0
2,5,0,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.64,0.00,15.7,3.6,0,0
2,5,0,sawtooth-intkey-tp-python...ult-0,22.4,21.5,45.00,3.45,11.4,5.6,0,0
2,5,0,sawtooth-rest-api-0,78.7,41.6,55.95,10.31,649.8,1.1,0,0
2,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.9,0,0,0
2,5,0,sawtooth-validator-1,199.6,140.3,87.20,6.91,10.8,15.7,0,0
2,5,0,sawtooth-validator-0,247.6,160.6,90.21,11.75,14.4,655.3,0,0
2,5,1,sawtooth-shell-default,28.6,9.6,57.84,11.91,1.0,7.5,0,0
2,5,1,sawtooth-rest-api-1,26.5,26.4,0.85,0.04,1.9,1.9,0,0
2,5,1,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.7,0,0,0
2,5,1,sawtooth-intkey-tp-python...ult-1,22.1,21.2,47.30,3.51,11.6,5.8,0,0
2,5,1,sawtooth-poet-validator-r...-tp-1,46.6,46.6,0.69,0.00,15.7,3.7,0,0
2,5,1,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.69,0.00,16.0,3.7,0,0
2,5,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.7,0,0,0
2,5,1,sawtooth-rest-api-0,84.3,42.1,58.63,10.15,645.3,1.1,0,0
2,5,1,sawtooth-intkey-tp-python...ult-0,22.3,21.4,42.35,3.51,11.8,5.8,0,0
2,5,1,sawtooth-validator-1,221.3,147.1,85.53,6.86,11.6,15.6,0,0
2,5,1,sawtooth-validator-0,268.9,165.4,88.87,11.83,14.2,651.7,0,0
2,5,2,sawtooth-shell-default,28.3,9.8,53.93,11.91,1.1,7.5,0,0
2,5,2,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,10.8,0,0,0
2,5,2,sawtooth-rest-api-0,81.1,42.0,53.17,10.49,653.3,1.1,0,0
2,5,2,sawtooth-intkey-tp-python...ult-0,22.0,21.2,41.65,3.46,10.8,5.4,0,0
2,5,2,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.8,0,0,0
2,5,2,sawtooth-intkey-tp-python...ult-1,22.0,21.2,42.21,3.46,10.8,5.3,0,0
2,5,2,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.7,0,0,0
2,5,2,sawtooth-settings-tp-1,20.5,20.5,0.00,0.00,10.6,0,0,0
2,5,2,sawtooth-rest-api-1,26.4,26.3,0.83,0.05,1.9,1.9,0,0
2,5,2,sawtooth-validator-0,225.5,159.0,94.56,11.63,13.6,658.4,0,0
2,5,2,sawtooth-validator-1,180.0,137.3,80.56,6.50,10.7,14.6,0,0
2,10,0,sawtooth-shell-default,52.5,14.1,50.99,13.12,1.8,12.9,0,0
2,10,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.7,0,0,0
2,10,0,sawtooth-intkey-tp-python...ult-0,23.9,22.2,47.04,6.77,23.3,11.6,0,0
2,10,0,sawtooth-rest-api-0,122.3,55.6,80.50,17.66,1.1,1.8,0,0
2,10,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.7,0,0,0
2,10,0,sawtooth-intkey-tp-python...ult-1,23.8,22.1,54.60,6.49,23.0,11.4,0,0
2,10,0,sawtooth-rest-api-1,26.5,26.4,0.78,0.08,3.7,3.8,0,0
2,10,0,sawtooth-settings-tp-1,20.8,20.8,0.00,0.00,10.8,0,0,0
2,10,0,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,10.7,0,0,0
2,10,0,sawtooth-validator-0,444.9,267.8,109.21,29.64,27.4,1.1,0,0
2,10,0,sawtooth-validator-1,351.5,223.2,92.73,14.53,22.8,30.5,0,0
2,10,1,sawtooth-shell-default,52.4,13.6,54.36,12.67,1.8,12.6,0,0
2,10,1,sawtooth-rest-api-1,26.5,26.3,0.78,0.09,3.7,3.8,0,0
2,10,1,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.8,0,0,0
2,10,1,sawtooth-intkey-tp-python...ult-1,23.7,22.1,47.00,6.74,22.9,11.4,0,0
2,10,1,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.8,0,0,0
2,10,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.8,0,0,0
