Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,5,2,sawtooth-rest-api-2,28.2,27.6,0.91,0.22,5.6,5.7,0,0
4,5,2,sawtooth-intkey-tp-python...ult-2,26.8,23.8,52.97,33.23,47.5,24.2,0,0
4,5,2,sawtooth-settings-tp-2,20.6,20.6,0.00,0.00,10.4,0,0,0
4,5,2,sawtooth-rest-api-3,27.8,27.6,0.92,0.24,5.6,5.7,0,0
4,5,2,sawtooth-intkey-tp-python...ult-3,27.1,24.0,56.58,34.04,48.2,24.6,0,0
4,5,2,sawtooth-poet-validator-r...-tp-3,46.9,46.9,0.00,0.00,10.5,0,0,0
4,5,2,sawtooth-settings-tp-3,20.3,20.3,0.00,0.00,10.5,0,0,0
4,5,2,sawtooth-validator-0,493.5,303.8,121.10,86.80,53.9,435.0,0,0
4,5,2,sawtooth-validator-1,452.7,279.5,114.10,80.98,50.3,55.9,0,0
4,5,2,sawtooth-validator-2,456.4,288.1,110.91,81.77,53.7,83.5,0,0
4,5,2,sawtooth-validator-3,458.8,278.5,112.81,80.99,50.4,57.8,0,0
4,7,0,sawtooth-shell-default,40.4,14.6,96.74,30.22,566.9,4.1,0,0
4,7,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.6,0,0,0
4,7,0,sawtooth-intkey-tp-python...ult-0,26.7,23.7,55.62,32.75,45.6,23.2,0,0
4,7,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.5,0,0,0
4,7,0,sawtooth-rest-api-0,70.0,39.5,100.94,19.75,345.3,574.2,0,0
4,7,0,sawtooth-poet-validator-r...-tp-3,46.6,46.6,0.00,0.00,10.6,0,0,0
4,7,0,sawtooth-rest-api-3,27.7,27.3,0.93,0.26,5.6,5.7,0,0
4,7,0,sawtooth-intkey-tp-python...ult-3,27.1,23.9,55.77,33.80,48.2,24.5,0,0
4,7,0,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,10.6,0,0,0
4,7,0,sawtooth-rest-api-1,28.2,27.8,1.01,0.25,5.5,5.7,0,0
4,7,0,sawtooth-settings-tp-1,21.3,21.3,0.00,0.00,10.8,0,0,0
4,7,0,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.5,0,0,0
4,7,0,sawtooth-intkey-tp-python...ult-1,26.8,23.6,55.81,33.85,47.6,24.2,0,0
4,7,0,sawtooth-settings-tp-2,20.6,20.6,0.00,0.00,10.5,0,0,0
4,7,0,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,10.7,0,0,0
4,7,0,sawtooth-rest-api-2,28.4,27.9,0.99,0.24,5.5,5.7,0,0
4,7,0,sawtooth-intkey-tp-python...ult-2,27.5,24.1,54.32,34.34,49.5,25.3,0,0
4,7,0,sawtooth-validator-1,415.9,266.7,113.70,81.30,52.7,53.9,0,0
4,7,0,sawtooth-validator-3,399.5,262.1,106.10,80.12,49.5,58.2,0,0
4,7,0,sawtooth-validator-0,446.4,293.4,113.04,84.53,53.6,416.7,0,0
4,7,0,sawtooth-validator-2,386.1,263.2,108.44,82.93,52.9,86.3,0,0
4,7,1,sawtooth-shell-default,41.5,15.1,92.98,28.74,594.0,4.3,0,0
4,7,1,sawtooth-rest-api-0,67.0,40.2,99.27,20.13,362.0,601.3,0,0
4,7,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.2,0,0,0
4,7,1,sawtooth-intkey-tp-python...ult-0,26.7,23.8,55.02,31.85,45.7,23.4,0,0
4,7,1,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.00,0.00,10.2,0,0,0
4,7,1,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.4,0,0,0
4,7,1,sawtooth-rest-api-1,27.8,27.5,0.87,0.24,5.6,5.7,0,0
4,7,1,sawtooth-settings-tp-1,20.5,20.5,0.00,0.00,10.2,0,0,0
4,7,1,sawtooth-intkey-tp-python...ult-1,27.1,23.8,54.65,33.94,48.4,24.6,0,0
4,7,1,sawtooth-settings-tp-2,20.4,20.4,0.00,0.00,10.2,0,0,0
4,7,1,sawtooth-poet-validator-r...-tp-2,46.9,46.9,0.00,0.00,10.4,0,0,0
4,7,1,sawtooth-rest-api-2,27.8,27.4,2.28,0.24,5.6,5.7,0,0
4,7,1,sawtooth-intkey-tp-python...ult-2,27.0,23.8,55.12,33.12,48.4,24.7,0,0
